id,pop,admin1,admin3,precipitation_mean,temperature_mean,elevation,slope,Name
id_84,164,4,133,1581.949552,24.00823229,650.2727273,0.909090909,Warri
id_903,192,5,144,1628.924174,25.07550907,364.75,1.5,Kano
id_333,203,2,79,1072.788419,25.11997171,107.6363636,3.545454545,Lagos
id_421,206,2,48,1219.166237,25.29792726,340.75,1.5,Lagos
id_308,226,2,89,1117.30815,25.1757674,90.68421053,6.526315789,Lagos
id_231,229,4,133,1401.86431,25.61565644,305.7142857,7.285714286,Warri
id_502,230,2,53,1265.201624,24.77141571,441.8823529,3.705882353,Lagos
id_239,233,4,133,1455.85287,25.12307767,369,10.14285714,Warri
id_455,242,2,27,928.2449951,25.70928001,38,1.125,Lagos
id_471,247,2,88,1437.185333,23.87916613,578.25,6.25,Lagos
id_597,250,3,10,1487.873332,24.10080496,519.4166667,2.75,Benin
id_310,252,2,95,1335.150923,23.92347821,588.0909091,3.636363636,Lagos
id_425,253,2,45,1108.292004,24.75461655,201.9,2.6,Lagos
id_316,257,2,81,1144.632513,25.10630122,140.5454545,2.818181818,Lagos
id_415,264,2,53,1268.928757,25.11886418,394.125,4.25,Lagos
id_591,265,3,21,1648.273859,22.32476321,906.7272727,4.363636364,Benin
id_311,271,2,95,1310.307505,24.1054846,549.2307692,2.307692308,Lagos
id_583,272,3,26,1660.54125,22.21104542,858.3333333,4.666666667,Benin
id_553,279,3,2,1686.630005,21.96199862,1048.166667,1,Benin
id_551,283,3,42,1477.422742,24.17732925,521.6,0.9,Benin
id_679,284,1,139,1538.73862,25.38279131,355.8888889,0.555555556,Abuja
id_460,286,2,15,954.7013503,25.66047756,4.307692308,0.923076923,Lagos
id_508,286,2,38,1458.067192,24.39028716,515.875,1.9375,Lagos
id_736,289,1,33,1677.636879,23.51566517,732.4375,1.3125,Abuja
id_580,289,3,19,1624.752094,22.95752525,727.1052632,2.473684211,Benin
id_457,290,2,27,932.9783325,25.70565987,36.75,1.083333333,Lagos
id_549,291,3,42,1500.051501,23.86178589,572.25,7.75,Benin
id_216,292,4,133,1457.699997,25.40864611,333.625,8.5,Warri
id_382,294,2,52,1062.20409,25.64826012,172.9090909,1.545454545,Lagos
id_268,295,4,133,1485.733541,24.0890727,557.5,4.833333333,Warri
id_444,297,2,48,1197.730501,23.49102643,526.6,3,Lagos
id_588,297,3,164,1622.392142,21.91855049,1009.857143,2.142857143,Benin
id_682,298,1,137,1538.368744,25.52473903,371.125,0.5,Abuja
id_507,300,2,35,1357.979996,23.0788765,784.125,2.875,Lagos
id_608,303,3,11,1682.138071,22.54073128,884.6153846,2.230769231,Benin
id_596,305,3,2,1637.946884,21.86917877,1012,0.5,Benin
id_490,306,2,70,1439.712664,23.95063135,629.5714286,6.571428571,Lagos
id_427,307,2,39.21428571,1070.21392,24.19007819,293.0714286,2.285714286,Lagos
id_574,308,3,26,1640.116588,22.30973677,828.2727273,2.636363636,Benin
id_511,309,2,35,1411.897754,22.93135166,755.95,3.25,Lagos
id_620,309,3,21,1633.058339,22.16975959,868.3333333,3.416666667,Benin
id_668,310,1,61,1585.334201,23.3233444,709.1818182,2.318181818,Abuja
id_521,310,3,43,1584.113989,23.82202263,737.1,2.4,Benin
id_312,312,2,81,1145.637221,25.10389307,162.1111111,3.888888889,Lagos
id_570,312,3,11,1710.664425,22.59490719,908.9666667,0.633333333,Benin
id_691,313,1,30,1623.177312,23.70996519,755.2307692,0.615384615,Abuja
id_568,313,3,163,1637.174282,21.42081465,1087.214286,1.5,Benin
id_605,313,3,11,1681.066003,22.56366806,924.2,1.5,Benin
id_106,313,4,133,1421.404994,25.06712205,365.1428571,9.857142857,Warri
id_681,315,1,30,1680.564426,23.49693298,762.8888889,0.777777778,Abuja
id_830,315,1,141,1566.99469,25.8302927,328.625,0.875,Abuja
id_496,315,2,40,1539.617695,23.18417847,725.88,1.28,Lagos
id_695,316,1,131,1510.074449,24.53984939,493.6666667,2.444444444,Abuja
id_826,316,1,25,1609.42876,23.17624855,710.5,2.9,Abuja
id_436,316,2,31,1335.798873,23.04787775,785.5454545,3,Lagos
id_531,319,3,43,1560.928645,23.98719641,687.5384615,4.538461538,Benin
id_686,320,1,113,1665.01416,24.16176563,667.7777778,1.111111111,Abuja
id_558,320,3,8,1535.049305,22.63447484,805,4.454545455,Benin
id_629,320,3,14,1627.545831,22.23896662,922.4444444,1.333333333,Benin
id_685,322,1,136,1608.05249,25.23322906,356.2,0.8,Abuja
id_528,322,3,42,1509.431274,23.98216858,580.7,2.3,Benin
id_846,322,5,147,1547.964179,25.49112235,341,0.555555556,Kano
id_810,323,1,96,1476.324319,24.41213001,478.8181818,4.181818182,Abuja
id_538,323,3,86,1547.162218,24.48359436,632.9444444,6.277777778,Benin
id_599,324,3,26,1621.7386,22.74563959,854.3888889,7.833333333,Benin
id_600,324,3,19,1673.442234,22.56289154,851.7777778,4.055555556,Benin
id_602,324,3,2,1640.447841,21.73235675,1045.428571,0.571428571,Benin
id_612,324,3,12.24137931,1668.014577,21.29585036,1029.241379,1.517241379,Benin
id_631,324,3,4,1657.562012,21.39588528,1065.2,0.5,Benin
id_683,325,1,74,1453.155692,24.98101507,442.8571429,1.857142857,Abuja
id_506,325,2,31,1314.315392,23.6834843,677.6153846,6,Lagos
id_550,325,3,124,1537.741957,24.8318278,456.5555556,3.666666667,Benin
